assembly_id	lolD.aln.trim
GCF_016745585.1	40
GCF_002762545.2	46
GCF_000163355.2	41
GCF_002138065.1	42
GCF_028548955.1	42
GCF_029872025.1	41
GCF_023362115.1	40
GCF_034296705.1	45
GCF_030585305.1	40
GCF_048962925.1	40
