tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM,
511145,Escherichia coli str. K-12 substr. MG1655,948989,0,live,lolA,"b0891, ECK0882, lplA, yzzV",outer membrane lipoprotein carrier protein,outer membrane lipoprotein carrier protein,,,NC_000913.3,937372,937983,plus,0,,
768492,Serratia plymuthica AS9,57666468,0,live,lolA,"SERAS9_RS08385, SerAS9_1665",outer membrane lipoprotein chaperone LolA,outer membrane lipoprotein chaperone LolA,,,NC_015567.1,1799899,1800510,plus,0,,
485,Neisseria gonorrhoeae,66752536,0,live,lolA,"HT085_RS01385, TUM19854C_02510",outer membrane lipoprotein chaperone LolA,outer membrane lipoprotein chaperone LolA,,,,,,,,,
108981,Acinetobacter schindleri,58162448,0,live,lolA,"FSC11_RS03940, FSC11_03935",outer membrane lipoprotein chaperone LolA,outer membrane lipoprotein chaperone LolA,,,,,,,,,
645,Aeromonas salmonicida,79880224,0,live,lolA,"ONZ54_RS13465, ONZ54_13475",outer membrane lipoprotein chaperone LolA,outer membrane lipoprotein chaperone LolA,,,,,,,,,
363952,Comamonas thiooxydans,69558586,0,live,lolA,"Cthiooxydans_RS04650, Cthiooxydans_08890",outer membrane lipoprotein chaperone LolA,outer membrane lipoprotein chaperone LolA,,,,,,,,,
316,Stutzerimonas stutzeri,66821230,0,live,lolA,"PszF2a_RS10015, PszF2a_19580",outer membrane lipoprotein chaperone LolA,outer membrane lipoprotein chaperone LolA,,,,,,,,,
47883,Pseudomonas synxantha,61831400,0,live,lolA,"C4K01_RS17990, C4K01_3632",outer membrane lipoprotein chaperone LolA,outer membrane lipoprotein chaperone LolA,,,,,,,,,
29430,Acinetobacter haemolyticus,56328363,0,live,lolA,DS737_RS03715,outer membrane lipoprotein chaperone LolA,outer membrane lipoprotein chaperone LolA,,,,,,,,,
487909,Xanthomonas translucens pv. undulosa,66887015,0,live,lolA,"ISN38_RS00150, ISN38_00150",outer membrane lipoprotein chaperone LolA,outer membrane lipoprotein chaperone LolA,,,,,,,,,
549,Pantoea agglomerans,66826484,0,live,lolA,"I6L77_RS14870, I6L77_14870",outer membrane lipoprotein chaperone LolA,outer membrane lipoprotein chaperone LolA,,,,,,,,,
61652,Serratia rubidaea,61765112,0,live,lolA,"I6G83_RS15030, I6G83_15030",outer membrane lipoprotein chaperone LolA,outer membrane lipoprotein chaperone LolA,,,,,,,,,
299767,Enterobacter ludwigii,45814581,0,live,lolA,"BH714_RS03485, BH714_03485",outer membrane lipoprotein chaperone LolA,outer membrane lipoprotein chaperone LolA,,,,,,,,,
321846,Pseudomonas simiae,45623851,0,live,lolA,"PF1751_RS16185, PF1751_v1c32170",outer membrane lipoprotein chaperone LolA,outer membrane lipoprotein chaperone LolA,,,,,,,,,
2587529,Klebsiella pasteurii,77224402,0,live,lolA,"KCG39_RS00495, KCG39_00495",outer membrane lipoprotein chaperone LolA,outer membrane lipoprotein chaperone LolA,,,,,,,,,
