tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
511145	Escherichia coli str. K-12 substr. MG1655	945775	0	live	lolB	b1209, ECK1197, hemM, ychC	outer membrane lipoprotein LolB	outer membrane lipoprotein LolB			NC_000913.3	1262877	1263500	minus	0		
223926	Vibrio parahaemolyticus RIMD 2210633	1188236	0	live	lolB	VP_RS03660, VP0741	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB		1	NC_004603.1	778488	779126	minus	0		
768492	Serratia plymuthica AS9	57666734	0	live	lolB	SERAS9_RS09775, SerAS9_1939	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB			NC_015567.1	2089562	2090185	minus	0		
666	Vibrio cholerae	69719205	0	live	lolB	F0316_RS03370, F0316_03370	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB		1							
1134687	Klebsiella michiganensis	66559289	0	live	lolB	JLG71_RS11135, THOKLE011_21670	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB									
67827	Citrobacter werkmanii	69486972	0	live	lolB	FOB24_RS14705, FOB24_14705	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB									
756892	Acinetobacter indicus	69465247	0	live	lolB	GA693_RS01820	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB									
654	Aeromonas veronii	60844855	0	live	lolB	FOB40_RS09055, FOB40_09055	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB									
29430	Acinetobacter haemolyticus	56329975	0	live	lolB	DS737_RS11910	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB									
1450527	Francisella tularensis subsp. novicida D9876	75264356	0	live	lolB	AQ14_RS03640, AQ14_732	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB									
520	Bordetella pertussis	69603055	0	live	lolB	CXD86_RS16350, CXD86_16295	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB									
549	Pantoea agglomerans	66826172	0	live	lolB	I6L77_RS13310, I6L77_13310	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB									
572265	Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)	66261657	0	live	lolB	HDEF_RS09535, HDEF_2119	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB			NC_012751.1	1940662	1941312	plus	0		
202956	Acinetobacter towneri	64222528	0	live	lolB	J4G44_RS05800, J4G44_05800	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB									
930166	Pseudomonas brassicacearum	57261644	0	live	lolB	ELZ14_RS26230, ELZ14_26225	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB									
696485	Vibrio owensii	47099073	0	live	lolB	A9237_RS04605, A9237_04605	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB		1							
743972	Actinobacillus suis ATCC 33415	34290887	0	live	lolB	ASU1_RS02860, ASU1_02805	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB									
228400	Histophilus somni 2336	31487774	0	live	lolB	HSM_RS07585, HSM_1476	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB			NC_010519.1	1683546	1684175	minus	0		
2587529	Klebsiella pasteurii	77225849	0	live	lolB	KCG39_RS07795, KCG39_07795	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB									
666685	Rhodanobacter denitrificans	72425939	0	live	lolB	LRK52_RS04790, LRK52_04790	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB									
1094184	Xanthomonas vasicola pv. musacearum NCPPB 4379	69688957	0	live	lolB	KWO_RS05025, KWO_005025	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB									
546367	Hafnia paralvei	69638416	0	live	lolB	K9N75_RS10215, K9N75_10215	lipoprotein insertase outer membrane protein LolB	lipoprotein insertase outer membrane protein LolB									
