Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	Syn-Subs	Nonsyn-Subs	Fold-Syn-Subs(0:2:4)	Fold-Nonsyn-Subs(0:2:4)	Divergence-Distance	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
1 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_000408385.1_Esch_coli_KTE68_V1_genomic|KE137035.1_985|score=386.0|cov=1.04	MA	0.00194268	0.0844055	0.023016	1.07102e-09	699	164.925	534.075	NA	14	13.0289	0.971076	NA	NA	0.0213993	11.1407:10.1984:16.9051:9.6652:25.2127:1	0.555079(0.635193:0.388412:0.641631)	-1000.74	NA	NA	NA
2 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_000413415.1_Myro_odor_CCUG_12700_V1_genomic|KE340319.1_825|score=273.0|cov=1.009	MA	0.498857	2.52413	0.197636	0	669	165.541	503.459	NA	332	207.361	124.639	NA	NA	1	0.610399:1.35808:0.406646:0.461708:0.83383:1	0.459641(0.58296:0.343049:0.452915)	-1662.68	NA	NA	NA
3 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_000635255.1_De_novo_assembly_of_single-cell_genomes_genomic|JFOD01000001.1_190|score=246.8|cov=2.369	MA	0.755386	1.83951	0.410646	0	693	156.364	536.636	NA	429	178.058	250.942	NA	NA	1	0.793341:0.84218:0.712511:0.716663:0.534279:1	0.417749(0.508658:0.344156:0.400433)	-1830.93	NA	NA	NA
4 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_000656455.1_Myco_tube_UT0014_V1_genomic|KK323072.1_86|score=268.2|cov=2.724	MA	0.763394	1.7857	0.427505	8.9711e-52	696	161.085	534.915	NA	392	162.009	229.991	NA	NA	1	0.595756:0.7923:0.353112:0.493579:0.256886:1	0.610632(0.681034:0.420259:0.730603)	-1765	NA	NA	NA
5 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_000789835.1_AZPAE14851_genomic|JTUK01000064.1_34|score=364.8|cov=1.013	MA	0.387374	3.19267	0.121332	0	678	148.063	529.937	NA	261	181.975	79.0251	NA	NA	1	0.994472:1.23039:0.64806:0.726584:0.202114:1	0.617257(0.674779:0.40708:0.769912)	-1558.54	NA	NA	NA
6 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_000795605.1_AZPAE14710_genomic|JTWW01000041.1_89|score=364.8|cov=1.013	MA	0.387327	3.21123	0.120616	0	678	147.099	530.901	NA	260	181.144	78.8561	NA	NA	1	0.990846:1.21268:0.654997:0.729537:0.198242:1	0.617994(0.674779:0.40708:0.772124)	-1556.71	NA	NA	NA
7 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_000797395.1_AZPAE13756_genomic|JTZQ01000028.1_178|score=364.8|cov=1.013	MA	0.386586	3.19216	0.121105	0	678	148.239	529.761	NA	261	182.162	78.8383	NA	NA	1	0.976196:1.2198:0.632371:0.714689:0.206172:1	0.615782(0.674779:0.40708:0.765487)	-1559.3	NA	NA	NA
8 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_000811165.3_ASM81116v3_genomic|JWWA03000100.1_38|score=345.2|cov=1.018	MA	0.442671	2.64524	0.167346	0	681	172.317	508.683	NA	322	215.528	106.472	NA	NA	1	1.05406:1.37845:0.810496:0.991573:0.54605:1	0.481645(0.625551:0.359031:0.460352)	-1677.89	NA	NA	NA
9 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_000820865.2_Bacillus_saudimassiliensis_JCA_genomic|LN623569.1_333|score=272.6|cov=2.991	MA	0.740392	1.80128	0.411037	3.53284e-77	696	170.317	525.683	NA	415	182.927	232.073	NA	NA	1	0.639554:0.826964:0.467533:0.543043:0.341533:1	0.471983(0.568966:0.364224:0.482759)	-1818.81	NA	NA	NA
10 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_000825945.1_Bangui-IP-6_genomic|CDEN01000029.1_5|score=264.7|cov=1.053	MA	0.514431	2.51351	0.204666	0	696	169.056	526.944	NA	349	213.072	135.928	NA	NA	1	1.02002:1.61736:0.894211:0.963532:0.63946:1	0.462644(0.568966:0.364224:0.454741)	-1738.28	NA	NA	NA
11 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_000828305.1_ASM82830v1_genomic|JXMR01000001.1_188|score=249.7|cov=1.093	MA	0.554027	2.53786	0.218304	0	699	157.138	541.862	NA	376	214.516	161.484	NA	NA	1	0.618132:0.940586:0.523695:0.484438:0.549229:1	0.422747(0.523605:0.349785:0.39485)	-1752.94	NA	NA	NA
12 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_000973085.1_ASM97308v1_genomic|CP011280.1_660|score=257.9|cov=1.031	MA	0.554287	2.43257	0.227861	0	687	163.024	523.976	NA	379	218.776	160.224	NA	NA	1	0.697755:0.915208:0.556511:0.633391:0.433072:1	0.429403(0.552402:0.362445:0.373362)	-1743.77	NA	NA	NA
13 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_001198735.1_6755_2_17_genomic|CRMC01000016.1_50|score=263.8|cov=1.04	MA	0.539749	2.39504	0.225362	0	693	171.916	521.084	NA	345	204.982	140.018	NA	NA	1	0.929905:1.32474:0.728788:0.672807:0.529071:1	0.489177(0.590909:0.363636:0.512987)	-1740.08	NA	NA	NA
14 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_001201675.1_6753_3_17_genomic|CRKA01000006.1_23|score=263.8|cov=1.04	MA	0.540146	2.39235	0.225781	0	693	172.054	520.946	NA	344	204.322	139.678	NA	NA	1	0.967449:1.3544:0.761949:0.708233:0.545078:1	0.487013(0.588745:0.363636:0.508658)	-1741.33	NA	NA	NA
15 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_001270235.1_ASM127023v1_genomic|LFZF01000018.1_588|score=373.8|cov=1.049	MA	0.347316	3.06219	0.113421	0	696	167.326	528.674	NA	297	218.646	78.3538	NA	NA	1	0.71444:1.35388:0.531855:0.751282:0.356687:1	0.518678(0.622845:0.37069:0.5625)	-1651.68	NA	NA	NA
16 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_001336215.1_6649_8_20_genomic|CFCR01000016.1_45|score=263.8|cov=1.04	MA	0.540234	2.38899	0.226135	0	693	172.342	520.658	NA	345	204.97	140.03	NA	NA	1	0.968335:1.30546:0.756821:0.70933:0.529306:1	0.487734(0.590909:0.363636:0.508658)	-1741.1	NA	NA	NA
17 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_001464585.1_Gammaproteobacteria_bacterium_Ga0077554_genomic|LNFF01000032.1_222|score=360.7|cov=1.009	MA	0.378194	3.15444	0.119893	0	675	151.182	523.818	NA	293	207.008	85.992	NA	NA	1	0.507421:0.999023:0.223723:0.497845:0.329012:1	0.565926(0.644444:0.397778:0.655556)	-1603.15	NA	NA	NA
18 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_001576205.1_ASM157620v1_genomic|LOPD01000038.1_37|score=385.5|cov=1.04	MA	0.00465155	0.153231	0.0303564	1.30218e-13	699	161.778	537.222	NA	25	22.7106	2.28936	NA	NA	0.0390391	9.69369:10.614:17.1878:13.3607:22.791:1	0.555079(0.637339:0.388412:0.639485)	-1041.84	NA	NA	NA
19 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_001672855.1_ASM167285v1_genomic|LZKM01000091.1_40|score=261.7|cov=2.729	MA	0.733233	1.85403	0.395481	1.69502e-61	696	165.659	530.341	NA	383	169.014	213.986	NA	NA	1	0.896182:1.00597:0.651468:0.792238:0.266118:1	0.623563(0.696121:0.420259:0.75431)	-1750.21	NA	NA	NA
20 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_001869765.1_ASM186976v1_genomic|MLPD01000016.1_5|score=233.6|cov=1.058	MA	0.67897	2.15202	0.315504	0	687	149.722	537.278	NA	372	174.469	197.531	NA	NA	1	0.719042:0.926514:0.506364:0.740629:0.449778:1	0.462882(0.552402:0.355895:0.480349)	-1767.25	NA	NA	NA
21 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_002044645.1_ASM204464v1_genomic|MYXM01000003.1_84|score=385.4|cov=1.04	MA	0.027777	0.983069	0.0282554	1.90474e-62	699	186.893	512.107	NA	111	103.024	7.97637	NA	NA	0.283196	3.0159:2.27776:1.49353:1.4968:0.92682:1	0.555079(0.637339:0.39485:0.633047)	-1237.9	NA	NA	NA
22 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_002070905.1_ASM207090v1_genomic|MWEF01000005.1_6|score=209.6|cov=3.782	MA	0.599815	2.23572	0.268287	0	681	166.59	514.41	NA	373	203.999	169.001	NA	NA	1	0.942011:1.0589:0.747739:0.863343:0.406848:1	0.461087(0.579295:0.363436:0.440529)	-1747.87	NA	NA	NA
23 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_002098335.1_ASM209833v1_genomic|MWGN01000084.1_279|score=375.1|cov=1.018	MA	0.312992	3.38933	0.0923461	0	678	151.411	526.589	NA	269	203.608	65.3924	NA	NA	1	0.570851:1.30566:0.567699:1.067:0.268211:1	0.525811(0.615044:0.373894:0.588496)	-1582.19	NA	NA	NA
24 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_002201815.1_ASM220181v1_genomic|CP021896.1_2391|score=382.3|cov=1.04	MA	0.0576631	1.08375	0.0532069	2.87376e-61	699	180.557	518.443	NA	126	109.301	16.6986	NA	NA	0.322709	2.50888:1.89622:1.161:1.16901:0.460316:1	0.573677(0.650215:0.39485:0.675966)	-1291.96	NA	NA	NA
25 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_002220885.1_ASM222088v1_genomic|NHNF01000001.1_353|score=260.2|cov=1.009	MA	0.564272	2.40827	0.234306	0	678	160.208	517.792	NA	355	202.017	152.983	NA	NA	1	1.1092:1.2137:0.859493:0.976811:0.477833:1	0.443953(0.548673:0.356195:0.426991)	-1713.01	NA	NA	NA
26 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_002247505.1_ASM224750v1_genomic|NQBI01000145.1_6|score=386.0|cov=1.04	MA	0.00213808	0.0374619	0.0570733	0.000783668	699	162.058	536.942	NA	7	5.88681	1.11319	NA	NA	0.0103276	6.04545:5.93158:11.2583:8.03777:24.7737:1	0.556509(0.639485:0.388412:0.641631)	-973.498	NA	NA	NA
27 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_002291925.1_ASM229192v1_genomic|DBAY01000030.1_60|score=280.9|cov=0.996	MA	0.528196	2.52283	0.209367	0	669	158.243	510.757	NA	327	195.135	131.865	NA	NA	1	1.07855:1.55267:0.665909:0.740667:0.469195:1	0.58296(0.659193:0.408072:0.681614)	-1656.62	NA	NA	NA
28 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_002326875.1_ASM232687v1_genomic|NTET01000018.1_86|score=385.5|cov=1.04	MA	0.00465155	0.153231	0.0303564	1.30218e-13	699	161.778	537.222	NA	25	22.7106	2.28936	NA	NA	0.0390391	9.69369:10.614:17.1878:13.3607:22.791:1	0.555079(0.637339:0.388412:0.639485)	-1041.84	NA	NA	NA
29 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_002342325.1_ASM234232v1_genomic|DDPT01000036.1_20|score=279.4|cov=1.0	MA	0.533995	2.36633	0.225664	0	672	170.905	501.095	NA	333	200.404	132.596	NA	NA	1	0.916545:1.13237:0.672461:0.751681:0.413088:1	0.468006(0.584821:0.359375:0.459821)	-1687.36	NA	NA	NA
30 GCA_000351625.1_Esch_coli_KTE66_V1_genomic|KB732762.1_1373|score=384.5|cov=1.04 GCA_002464245.1_ASM246424v1_genomic|NTPF01000002.1_179|score=386.0|cov=1.04	MA	0.0022782	0.152387	0.0149502	1.47219e-14	699	162.662	536.338	NA	24	22.8725	1.12749	NA	NA	0.0372094	6.66666:7.79213:9.32309:8.0018:15.3449:1	0.556509(0.633047:0.388412:0.648069)	-1032.8	NA	NA	NA
