assembly_id	lolF.aln
GCF_000163355.2	9
GCF_002762545.2	9
GCF_016745585.1	8
GCF_029872025.1	9
GCF_028548955.1	7
GCF_034296705.1	7
GCF_002138065.1	7
GCF_023362115.1	9
GCF_030585305.1	9
GCF_048962925.1	8
