query	sample	target_id	protein_len	cds_len	score	evalue	coverage
lolD.aln	GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1373	233	702	384.5	3.5e-116	1.04
lolD.aln	GCA_000408385.1_Esch_coli_KTE68_V1_genomic	KE137035.1_985	233	702	386.0	1.4e-116	1.04
lolD.aln	GCA_000413415.1_Myro_odor_CCUG_12700_V1_genomic	KE340319.1_825	226	681	273.0	3.3e-82	1.009
lolD.aln	GCA_000635255.1_De_novo_assembly_of_single-cell_genomes_genomic	JFOD01000001.1_190	532	1599	246.8	1.7e-74	2.369
lolD.aln	GCA_000656455.1_Myco_tube_UT0014_V1_genomic	KK323072.1_86	612	1839	268.2	1.1e-80	2.724
lolD.aln	GCA_000789835.1_AZPAE14851_genomic	JTUK01000064.1_34	227	684	364.8	4.9e-110	1.013
lolD.aln	GCA_000795605.1_AZPAE14710_genomic	JTWW01000041.1_89	227	684	364.8	4.9e-110	1.013
lolD.aln	GCA_000797395.1_AZPAE13756_genomic	JTZQ01000028.1_178	227	684	364.8	5.4e-110	1.013
lolD.aln	GCA_000811165.3_ASM81116v3_genomic	JWWA03000100.1_38	228	687	345.2	2.8e-104	1.018
lolD.aln	GCA_000820865.2_Bacillus_saudimassiliensis_JCA_genomic	LN623569.1_333	672	2019	272.6	5.6e-82	2.991
lolD.aln	GCA_000825945.1_Bangui-IP-6_genomic	CDEN01000029.1_5	236	711	264.7	6.6e-80	1.053
lolD.aln	GCA_000828305.1_ASM82830v1_genomic	JXMR01000001.1_188	245	738	249.7	4.2e-75	1.093
lolD.aln	GCA_000973085.1_ASM97308v1_genomic	CP011280.1_660	231	696	257.9	4.9e-78	1.031
lolD.aln	GCA_001198735.1_6755_2_17_genomic	CRMC01000016.1_50	233	702	263.8	1.3e-79	1.04
lolD.aln	GCA_001201675.1_6753_3_17_genomic	CRKA01000006.1_23	233	702	263.8	1.3e-79	1.04
lolD.aln	GCA_001270235.1_ASM127023v1_genomic	LFZF01000018.1_588	235	708	373.8	6.4e-113	1.049
lolD.aln	GCA_001336215.1_6649_8_20_genomic	CFCR01000016.1_45	233	702	263.8	1.3e-79	1.04
lolD.aln	GCA_001464585.1_Gammaproteobacteria_bacterium_Ga0077554_genomic	LNFF01000032.1_222	226	681	360.7	3.9e-109	1.009
lolD.aln	GCA_001576205.1_ASM157620v1_genomic	LOPD01000038.1_37	233	702	385.5	1.9e-116	1.04
lolD.aln	GCA_001672855.1_ASM167285v1_genomic	LZKM01000091.1_40	613	1842	261.7	1.6e-78	2.729
lolD.aln	GCA_001869765.1_ASM186976v1_genomic	MLPD01000016.1_5	237	714	233.6	2.2e-70	1.058
lolD.aln	GCA_002044645.1_ASM204464v1_genomic	MYXM01000003.1_84	233	702	385.4	2e-116	1.04
lolD.aln	GCA_002070905.1_ASM207090v1_genomic	MWEF01000005.1_6	850	2553	209.6	2.1e-63	3.782
lolD.aln	GCA_002098335.1_ASM209833v1_genomic	MWGN01000084.1_279	228	687	375.1	2e-113	1.018
lolD.aln	GCA_002201815.1_ASM220181v1_genomic	CP021896.1_2391	233	702	382.3	1.6e-115	1.04
lolD.aln	GCA_002220885.1_ASM222088v1_genomic	NHNF01000001.1_353	226	681	260.2	2.1e-78	1.009
lolD.aln	GCA_002247505.1_ASM224750v1_genomic	NQBI01000145.1_6	233	702	386.0	1.3e-116	1.04
lolD.aln	GCA_002291925.1_ASM229192v1_genomic	DBAY01000030.1_60	223	672	280.9	7.8e-85	0.996
lolD.aln	GCA_002326875.1_ASM232687v1_genomic	NTET01000018.1_86	233	702	385.5	1.6e-116	1.04
lolD.aln	GCA_002342325.1_ASM234232v1_genomic	DDPT01000036.1_20	224	675	279.4	1.6e-84	1.0
lolD.aln	GCA_002464245.1_ASM246424v1_genomic	NTPF01000002.1_179	233	702	386.0	1.4e-116	1.04
lolD.aln	GCA_002703345.1_ASM270334v1_genomic	NZTM01000047.1_23	526	1581	270.9	5.5e-82	2.342
lolD.aln	GCA_002732975.1_ASM273297v1_genomic	NVTP01000007.1_27	214	645	202.4	6.2e-61	0.956
lolD.aln	GCA_002753015.1_ASM275301v1_genomic	CP024504.1_3028	233	702	383.3	9.9e-116	1.04
