tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
511145	Escherichia coli str. K-12 substr. MG1655	945673	0	live	lolC	b1116, ECK1102, ycfU	lipoprotein release complex - inner membrane subunit	lipoprotein release complex - inner membrane subunit			NC_000913.3	1175427	1176626	plus	0		
29471	Pectobacterium atrosepticum	57209468	0	live	lolC	GZ59_RS13380, GZ59_27800	lipoprotein-releasing ABC transporter permease subunit LolC	lipoprotein-releasing ABC transporter permease subunit LolC									
768492	Serratia plymuthica AS9	57666747	0	live	lolC	SERAS9_RS09840, SerAS9_1952	lipoprotein-releasing ABC transporter permease subunit LolC	lipoprotein-releasing ABC transporter permease subunit LolC			NC_015567.1	2105268	2106470	plus	0		
29486	Yersinia ruckeri	66879202	0	live	lolC	YR821_RS06895, YR821_1417	lipoprotein-releasing ABC transporter permease subunit LolC	lipoprotein-releasing ABC transporter permease subunit LolC									
1263550	Edwardsiella piscicida	72528876	0	live	lolC	L1P05_RS09900, L1P05_09900	lipoprotein-releasing ABC transporter permease subunit LolC	lipoprotein-releasing ABC transporter permease subunit LolC									
549	Pantoea agglomerans	66826278	0	live	lolC	I6L77_RS13840, I6L77_13840	lipoprotein-releasing ABC transporter permease subunit LolC	lipoprotein-releasing ABC transporter permease subunit LolC									
572265	Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)	66260060	0	live	lolC	HDEF_RS00730, HDEF_0122	lipoprotein-releasing ABC transporter permease subunit LolC	lipoprotein-releasing ABC transporter permease subunit LolC			NC_012751.1	127457	128659	plus	0		
180957	Pectobacterium brasiliense	57244820	0	live	lolC	GT391_RS19830, GT391_19830	lipoprotein-releasing ABC transporter permease subunit LolC	lipoprotein-releasing ABC transporter permease subunit LolC									
2587529	Klebsiella pasteurii	77224717	0	live	lolC	KCG39_RS02075, KCG39_02075	lipoprotein-releasing ABC transporter permease subunit LolC	lipoprotein-releasing ABC transporter permease subunit LolC									
622	Shigella dysenteriae	75171240	0	live	lolC	HUZ68_RS09600, HUZ68_09515	lipoprotein-releasing ABC transporter permease subunit LolC	lipoprotein-releasing ABC transporter permease subunit LolC									
546367	Hafnia paralvei	69638498	0	live	lolC	K9N75_RS10625, K9N75_10625	lipoprotein-releasing ABC transporter permease subunit LolC	lipoprotein-releasing ABC transporter permease subunit LolC									
300181	Serratia ureilytica	64308684	0	live	lolC	J0X03_RS13860, J0X03_13860	lipoprotein-releasing ABC transporter permease subunit LolC	lipoprotein-releasing ABC transporter permease subunit LolC									
