assembly_id	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund
GCF_016745585.1	1	0	100.00	3900.00
GCF_002762545.2	1	0	100.00	4500.00
GCF_000163355.2	1	0	100.00	4000.00
GCF_002138065.1	1	0	100.00	4100.00
GCF_028548955.1	1	0	100.00	4100.00
GCF_029872025.1	1	0	100.00	4000.00
GCF_023362115.1	1	0	100.00	3900.00
GCF_034296705.1	1	0	100.00	4400.00
GCF_030585305.1	1	0	100.00	3900.00
GCF_048962925.1	1	0	100.00	3900.00
