文件名	target name	accession	query name	accession	E-value	score	bias	E-value	score	bias	exp	reg	clu	ov	env	dom	rep	inc	description of target
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1373	-	lolD.aln	-	3.5e-116	384.5	0.4	4e-116	384.4	0.4	1.0	1	0	0	1	1	1	1	# 1525488 # 1526189 # 1 # ID=7_1373;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.554
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_757	-	lolD.aln	-	2.9e-81	270.3	0.6	3.3e-81	270.2	0.6	1.0	1	0	0	1	1	1	1	# 859244 # 859930 # 1 # ID=7_757;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.566
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_2468	-	lolD.aln	-	6.4e-80	265.9	8.6	6.5e-41	138.3	1.1	2.1	2	0	0	2	2	2	2	# 2669097 # 2670686 # 1 # ID=7_2468;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.516
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1097	-	lolD.aln	-	4e-78	260.1	3.1	3.5e-38	129.4	4.1	2.1	2	0	0	2	2	2	2	# 1224331 # 1226202 # 1 # ID=7_1097;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.542
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1148	-	lolD.aln	-	3.6e-72	240.6	0.2	5e-72	240.1	0.2	1.2	1	0	0	1	1	1	1	# 1279395 # 1281341 # 1 # ID=7_1148;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.541
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_514	-	lolD.aln	-	8e-62	206.8	0.0	8.8e-62	206.6	0.0	1.0	1	0	0	1	1	1	1	# 527216 # 527884 # -1 # ID=11_514;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_449	-	lolD.aln	-	8.5e-61	203.4	0.2	1.1e-60	203.0	0.2	1.1	1	0	0	1	1	1	1	# 493621 # 494652 # -1 # ID=7_449;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.525
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1076	-	lolD.aln	-	6.6e-59	197.2	0.2	7.3e-59	197.1	0.2	1.0	1	0	0	1	1	1	1	# 1201848 # 1202570 # -1 # ID=7_1076;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.535
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_2161	-	lolD.aln	-	5.2e-54	181.2	0.2	5.9e-54	181.0	0.2	1.0	1	0	0	1	1	1	1	# 2348197 # 2348949 # -1 # ID=7_2161;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.539
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_536	-	lolD.aln	-	1.2e-53	180.0	0.0	3.6e-28	96.7	0.0	2.2	2	0	0	2	2	2	2	# 546078 # 548813 # -1 # ID=11_536;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.563
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_104	-	lolD.aln	-	3.1e-51	172.1	0.0	1.5e-31	107.8	0.0	2.2	2	0	0	2	2	2	2	# 103081 # 104634 # 1 # ID=7_104;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.552
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_2737	-	lolD.aln	-	3.1e-51	172.1	0.5	6.6e-51	171.0	0.4	1.5	2	0	0	2	2	1	1	# 2959010 # 2960107 # -1 # ID=7_2737;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.587
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_2586	-	lolD.aln	-	1.3e-50	170.1	1.4	1.6e-50	169.8	1.4	1.1	1	0	0	1	1	1	1	# 2805102 # 2805875 # -1 # ID=7_2586;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.512
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_2905	-	lolD.aln	-	2.5e-50	169.1	1.7	4.4e-28	96.4	0.1	3.0	2	1	0	2	2	2	2	# 3138941 # 3140452 # -1 # ID=7_2905;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_930	-	lolD.aln	-	3.6e-50	168.6	0.3	4.1e-50	168.5	0.3	1.0	1	0	0	1	1	1	1	# 1034573 # 1035298 # -1 # ID=7_930;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.518
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1061	-	lolD.aln	-	1.1e-49	167.1	0.0	8.1e-26	89.0	0.0	2.2	2	0	0	2	2	2	2	# 1181429 # 1183165 # -1 # ID=7_1061;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.554
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_825	-	lolD.aln	-	5.3e-49	164.8	0.7	3.7e-26	90.1	0.0	2.9	2	1	0	2	2	2	2	# 886857 # 888362 # 1 # ID=11_825;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.509
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_632	-	lolD.aln	-	9.6e-49	164.0	1.1	4.4e-29	99.6	0.4	3.0	3	0	0	3	3	3	3	# 662030 # 663571 # 1 # ID=11_632;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.475
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_334	-	lolD.aln	-	6.2e-48	161.3	0.0	7.8e-48	161.0	0.0	1.0	1	0	0	1	1	1	1	# 353586 # 354344 # 1 # ID=11_334;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.478
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_584	-	lolD.aln	-	4.7e-47	158.4	1.1	2.4e-26	90.7	0.2	2.6	2	1	0	2	2	2	2	# 650461 # 651945 # 1 # ID=7_584;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.517
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1382	-	lolD.aln	-	6.3e-47	158.0	0.2	9.8e-47	157.4	0.2	1.3	1	0	0	1	1	1	1	# 1533324 # 1534460 # -1 # ID=7_1382;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.507
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1705	-	lolD.aln	-	9.1e-46	154.2	0.0	1.5e-45	153.5	0.0	1.3	1	0	0	1	1	1	1	# 1860201 # 1861214 # 1 # ID=7_1705;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.548
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_3060	-	lolD.aln	-	9.6e-46	154.2	1.0	1.4e-45	153.6	1.0	1.2	1	0	0	1	1	1	1	# 3291857 # 3293059 # 1 # ID=7_3060;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.490
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_2436	-	lolD.aln	-	1.6e-45	153.4	0.1	1.9e-23	81.2	0.0	3.0	2	1	0	2	2	2	2	# 2630631 # 2632151 # -1 # ID=7_2436;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.452
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_531	-	lolD.aln	-	2.5e-45	152.8	1.0	3.2e-45	152.5	1.0	1.1	1	0	0	1	1	1	1	# 542917 # 543723 # 1 # ID=11_531;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1132	-	lolD.aln	-	3.2e-45	152.5	0.0	4e-45	152.1	0.0	1.0	1	0	0	1	1	1	1	# 1259566 # 1260294 # -1 # ID=7_1132;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.528
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1795	-	lolD.aln	-	1.1e-44	150.7	3.3	2.1e-23	81.1	0.1	2.6	2	1	0	2	2	2	2	# 1971326 # 1972861 # 1 # ID=7_1795;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=3-4bp;gc_cont=0.531
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732768.1_99	-	lolD.aln	-	1.9e-44	149.9	1.1	2.7e-44	149.4	1.1	1.2	1	0	0	1	1	1	1	# 112055 # 112843 # -1 # ID=13_99;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.587
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1123	-	lolD.aln	-	3.6e-44	149.0	0.2	5.2e-44	148.5	0.2	1.2	1	0	0	1	1	1	1	# 1251787 # 1252920 # 1 # ID=7_1123;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.540
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1201	-	lolD.aln	-	7.5e-44	148.0	0.2	2.4e-43	146.3	0.2	1.7	1	1	0	1	1	1	1	# 1351225 # 1351992 # -1 # ID=7_1201;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.555
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_605	-	lolD.aln	-	1.2e-43	147.3	0.1	1.5e-43	146.9	0.1	1.1	1	0	0	1	1	1	1	# 632910 # 633914 # -1 # ID=11_605;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.563
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_2147	-	lolD.aln	-	1.6e-43	146.9	0.1	4e-28	96.5	0.0	3.1	3	0	0	3	3	3	3	# 2334690 # 2336204 # -1 # ID=7_2147;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.521
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_501	-	lolD.aln	-	2.6e-43	146.2	0.1	3.5e-43	145.8	0.1	1.1	1	0	0	1	1	1	1	# 513157 # 514227 # -1 # ID=11_501;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.574
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1565	-	lolD.aln	-	1.1e-42	144.2	0.5	1.4e-42	143.8	0.5	1.2	1	0	0	1	1	1	1	# 1727963 # 1729045 # 1 # ID=7_1565;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.492
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732768.1_91	-	lolD.aln	-	1.6e-42	143.6	0.0	1.9e-42	143.4	0.0	1.0	1	0	0	1	1	1	1	# 105737 # 106495 # -1 # ID=13_91;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.617
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1484	-	lolD.aln	-	1.7e-42	143.6	0.4	2e-42	143.3	0.4	1.0	1	0	0	1	1	1	1	# 1643290 # 1644303 # 1 # ID=7_1484;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.518
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732768.1_33	-	lolD.aln	-	5.6e-42	141.8	0.3	8.1e-42	141.3	0.3	1.2	1	0	0	1	1	1	1	# 41923 # 43038 # 1 # ID=13_33;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.548
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1088	-	lolD.aln	-	6.7e-42	141.6	1.3	1.9e-11	42.0	0.0	4.3	3	2	1	4	4	4	4	# 1212780 # 1214372 # 1 # ID=7_1088;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.527
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_239	-	lolD.aln	-	1e-41	141.0	0.1	2.3e-12	45.0	0.0	4.2	4	0	0	4	4	4	4	# 256090 # 257757 # -1 # ID=7_239;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.550
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732768.1_90	-	lolD.aln	-	4.5e-41	138.9	0.0	5.2e-41	138.7	0.0	1.0	1	0	0	1	1	1	1	# 104946 # 105626 # -1 # ID=13_90;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.599
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1217	-	lolD.aln	-	4.3e-40	135.7	0.3	3.7e-12	44.3	0.0	4.2	3	1	1	4	4	4	4	# 1367912 # 1369819 # 1 # ID=7_1217;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.527
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_606	-	lolD.aln	-	6.3e-40	135.1	0.3	7.5e-40	134.9	0.3	1.1	1	0	0	1	1	1	1	# 633911 # 634894 # -1 # ID=11_606;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.563
