Input_ID,Standard_ID,Organism
GCA_000007985.2,GCF_000007985.2,Geobacter sulfurreducens PCA 
GCA_000007005.1,GCF_000007005.1,Saccharolobus solfataricus P2 
GCA_000011385.1,GCF_000011385.1,Gloeobacter violaceus PCC 7421 
GCA_000007345.1,GCF_000007345.1,Methanosarcina acetivorans C2A 
GCA_000009965.1,GCF_000009965.1,Thermococcus kodakarensis KOD1 
GCA_000015485.1,GCF_000015485.1,Nitratidesulfovibrio vulgaris DP4 
GCA_000021725.1,GCF_000021725.1,Nautilia profundicola AmH 
GCA_000012685.1,GCF_000012685.1,Myxococcus xanthus DK 1622 
GCA_000025685.1,GCF_000025685.1,Haloferax volcanii DS2 
GCA_000091205.1,GCF_000091205.1,
GCA_000091665.1,GCF_000091665.1,Methanocaldococcus jannaschii DSM 2661 
GCA_000146165.2,GCF_000146165.2,Shewanella oneidensis MR-1 
GCA_000195755.1,GCF_000195755.1,Nitratidesulfovibrio vulgaris str. Hildenborough 
GCA_000166115.1,GCF_000166115.1,Nitratidesulfovibrio vulgaris RCH1 
GCA_000196175.1,GCF_000196175.1,Bdellovibrio bacteriovorus HD100 
GCA_000317895.1,GCF_000317895.1,Bdellovibrio bacteriovorus str. Tiberius 
GCA_000210155.1,GCF_000210155.1,Geobacter sulfurreducens KN400 
GCA_000525675.1,GCF_000525675.1,Bdellovibrio bacteriovorus W 
GCA_000691605.1,GCF_000691605.1,Bdellovibrio bacteriovorus 
GCA_000968355.2,GCF_000968355.2,Saccharolobus solfataricus 
GCA_000968435.2,GCF_000968435.2,Saccharolobus solfataricus 
GCA_000968395.2,GCF_000968395.2,Saccharolobus solfataricus 
GCA_002208115.1,GCF_002208115.1,Bdellovibrio bacteriovorus 
GCA_003574175.1,GCF_003574175.1,Geobacter sulfurreducens 
GCA_003852095.1,GCF_003852095.1,Saccharolobus solfataricus 
GCA_003852115.1,GCF_003852115.1,Saccharolobus solfataricus 
GCA_003852135.1,GCF_003852135.1,Saccharolobus solfataricus 
GCA_003852155.1,GCF_003852155.1,Saccharolobus solfataricus 
GCA_003852175.1,GCF_003852175.1,Saccharolobus solfataricus 
GCA_003852195.1,GCF_003852195.1,Saccharolobus solfataricus 
GCA_006401215.1,GCF_006401215.1,Myxococcus xanthus 
GCA_006400955.1,GCF_006400955.1,Myxococcus xanthus 
GCA_003852215.1,GCF_003852215.1,Saccharolobus solfataricus 
GCA_006401635.1,GCF_006401635.1,Myxococcus xanthus 
