tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
7227	Drosophila melanogaster	44548	0	live	lola	Dmel_CG12052, BEST:LD03274, BTB-IV, BcDNA:LD17006, BcDNA:RH31485, BtbIV, CG12052, CG18376, CG18378, CG18379, CG18380, CG18381, CG30012, CG30013, CG30014, Dmel\CG12052, LD03274, LOLA, Lola, NEST:bs06a08, bs06a08.y1, btb, eyeful, fus7, l(2)00642, l(2)s3697, sw59	longitudinals lacking	longitudinals lacking|BTB-protein-IV|CG12052-PA|CG12052-PAA|CG12052-PB|CG12052-PC|CG12052-PD|CG12052-PE|CG12052-PF|CG12052-PG|CG12052-PH|CG12052-PI|CG12052-PJ|CG12052-PK|CG12052-PL|CG12052-PM|CG12052-PO|CG12052-PP|CG12052-PQ|CG12052-PR|CG12052-PT|CG12052-PU|CG12052-PV|CG12052-PW|CG12052-PX|CG12052-PY|CG12052-PZ|SGP cluster fusion defects 7|bumper-to-bumper|e|eyeful|lola-PA|lola-PAA|lola-PB|lola-PC|lola-PD|lola-PE|lola-PF|lola-PG|lola-PH|lola-PI|lola-PJ|lola-PK|lola-PL|lola-PM|lola-PO|lola-PP|lola-PQ|lola-PR|lola-PT|lola-PU|lola-PV|lola-PW|lola-PX|lola-PY|lola-PZ|longitudinal lacking|longitudinals absent|longitudinals-lacking|misguided	2-62 cM	2R	NT_033778.4	10481894	10543291	minus	31		
511145	Escherichia coli str. K-12 substr. MG1655	948989	0	live	lolA	b0891, ECK0882, lplA, yzzV	outer membrane lipoprotein carrier protein	outer membrane lipoprotein carrier protein			NC_000913.3	937372	937983	plus	0		
50387	Diabrotica undecimpunctata	140437079	0	live	lola		longitudinals lacking	longitudinals lacking protein, isoforms A/B/D/L|uncharacterized protein lola		3	NC_092805.1	97533994	98138948	minus	52		
768492	Serratia plymuthica AS9	57666468	0	live	lolA	SERAS9_RS08385, SerAS9_1665	outer membrane lipoprotein chaperone LolA	outer membrane lipoprotein chaperone LolA			NC_015567.1	1799899	1800510	plus	0		
485	Neisseria gonorrhoeae	66752536	0	live	lolA	HT085_RS01385, TUM19854C_02510	outer membrane lipoprotein chaperone LolA	outer membrane lipoprotein chaperone LolA									
108981	Acinetobacter schindleri	58162448	0	live	lolA	FSC11_RS03940, FSC11_03935	outer membrane lipoprotein chaperone LolA	outer membrane lipoprotein chaperone LolA									
645	Aeromonas salmonicida	79880224	0	live	lolA	ONZ54_RS13465, ONZ54_13475	outer membrane lipoprotein chaperone LolA	outer membrane lipoprotein chaperone LolA									
363952	Comamonas thiooxydans	69558586	0	live	lolA	Cthiooxydans_RS04650, Cthiooxydans_08890	outer membrane lipoprotein chaperone LolA	outer membrane lipoprotein chaperone LolA									
316	Stutzerimonas stutzeri	66821230	0	live	lolA	PszF2a_RS10015, PszF2a_19580	outer membrane lipoprotein chaperone LolA	outer membrane lipoprotein chaperone LolA									
47883	Pseudomonas synxantha	61831400	0	live	lolA	C4K01_RS17990, C4K01_3632	outer membrane lipoprotein chaperone LolA	outer membrane lipoprotein chaperone LolA									
