Label	Assembly	Domain	Phylum	Class	Order	Family	Genus	Species
GCF_003992725.1|WP_127079945.1	GCF_003992725.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Rhodomicrobium	Rhodomicrobium lacus
GCF_000202835.1|WP_013639888.1	GCF_000202835.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acidocellaceae	Acidiphilium	Acidiphilium multivorum
GCF_000701585.1|WP_029312851.1	GCF_000701585.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acidocellaceae	Acidiphilium	Acidiphilium angustum
GCF_900156265.1|WP_029312851.1	GCF_900156265.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acidocellaceae	Acidiphilium	Acidiphilium rubrum
GCF_033842475.1|WP_319614508.1	GCF_033842475.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acidocellaceae	Acidiphilium	Acidiphilium acidophilum
GCF_947090205.1|WP_276874477.1	GCF_947090205.1	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister micraerophilus
GCF_004363775.1|WP_133621392.1	GCF_004363775.1	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Hydromonas	Hydromonas duriensis
GCF_003339525.1|WP_114562677.1	GCF_003339525.1	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ephemeroptericola	Ephemeroptericola cinctiostellae
GCF_014652675.1|WP_189493820.1	GCF_014652675.1	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Formosimonas	Formosimonas limnophila
GCF_007992495.1|WP_147156315.1	GCF_007992495.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Reyranellaceae	Reyranella	Reyranella soli
GCF_020880995.1|WP_230550927.1	GCF_020880995.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Reyranellaceae	Reyranella	Reyranella aquatilis
GCF_014925385.1|WP_193369466.1	GCF_014925385.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodovibrionaceae	Pelagibius	Pelagibius marinus
GCF_900188055.1|WP_143596377.1	GCF_900188055.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodovibrionaceae	Tistlia	Tistlia consotensis
GCF_011777495.1|WP_167673441.1	GCF_011777495.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga terricola
GCF_000423185.1|WP_162146080.1	GCF_000423185.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Inquilinus	Inquilinus limosus
GCF_014196765.1|WP_183798277.1	GCF_014196765.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Mycoplana	Mycoplana azooxidifex
GCF_900445235.1|WP_115733654.1	GCF_900445235.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Aminobacter	Aminobacter aminovorans
GCF_003403035.1|WP_116623665.1	GCF_003403035.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium denitrificans
GCF_900114255.1|WP_149759132.1	GCF_900114255.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Neomesorhizobium	Neomesorhizobium albiziae
GCF_009826895.1|WP_160773856.1	GCF_009826895.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Stappia	Stappia sediminis
GCF_023487995.1|WP_249579083.1	GCF_023487995.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Thermohalobaculum	Thermohalobaculum sediminis
GCF_900231165.1|WP_162292610.1	GCF_900231165.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Pleomorphomonadaceae	Hartmannibacter	Hartmannibacter diazotrophicus
GCF_011068405.5|WP_166346656.1	GCF_011068405.5	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	Bradyrhizobium barranii
GCF_011604665.2|WP_166469373.1	GCF_011604665.2	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	Bradyrhizobium symbiodeficiens
GCF_021088345.1|WP_231319178.1	GCF_021088345.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	Bradyrhizobium ontarionense
GCF_001305515.1|WP_054358036.1	GCF_001305515.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Ancalomicrobiaceae	Prosthecodimorpha	Prosthecodimorpha hirschii
GCF_018729455.1|WP_261967145.1	GCF_018729455.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Ancalomicrobiaceae	Prosthecodimorpha	Prosthecodimorpha staleyi
GCF_024294805.1|WP_254742907.1	GCF_024294805.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Alsobacteraceae	Alsobacter	Alsobacter ponti
GCF_000518665.1|WP_161634662.1	GCF_000518665.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga flocculans
GCF_014191055.1|WP_183446075.1	GCF_014191055.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga lupini
GCF_015694425.1|WP_196263450.1	GCF_015694425.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga terrestris
GCF_016811235.1|WP_203273522.1	GCF_016811235.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga arabica
GCF_016735695.1|WP_210381282.1	GCF_016735695.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga zambiensis
GCF_013307435.2|WP_173948150.1	GCF_013307435.2	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga terrae
GCF_025460805.1|WP_262273438.1	GCF_025460805.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga sesbaniae
GCF_025460875.1|WP_262273438.1	GCF_025460875.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga yunnanensis
GCF_013520865.1|WP_181050586.1	GCF_013520865.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga mediterraneensis
GCF_003347665.1|WP_114943360.1	GCF_003347665.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga calopogonii
GCF_034627025.1|WP_009493328.1	GCF_034627025.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga lotononidis
GCF_009910725.1|WP_161722113.1	GCF_009910725.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga arsenatis
GCF_001017175.1|WP_160310479.1	GCF_001017175.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga vignae
GCF_900102135.1|WP_091131014.1	GCF_900102135.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga guangxiensis
GCF_004458765.1|WP_134500500.1	GCF_004458765.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga pakistanensis
GCF_009830105.1|WP_160883892.1	GCF_009830105.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga makkahensis
GCF_022808595.1|WP_243370345.1	GCF_022808595.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga solisilvae
GCF_002741015.1|WP_210422189.1	GCF_002741015.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga ossetica
GCF_003332305.1|WP_114184757.1	GCF_003332305.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga aerophila
GCF_003350535.1|WP_114772928.1	GCF_003350535.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga subterranea
GCF_016734765.1|WP_281401795.1	GCF_016734765.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga soli
