Assembly_name	Original_file_name	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund
GCF_000163355.2	/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/2-GToTree/example/2-目标HMM→命中序列/data/2-Sequence/GCF_000163355.2.faa	NA	1	0	100.00	800.00
GCF_016745585.1	/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/2-GToTree/example/2-目标HMM→命中序列/data/2-Sequence/GCF_016745585.1.faa	NA	1	0	100.00	700.00
GCF_002762545.2	/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/2-GToTree/example/2-目标HMM→命中序列/data/2-Sequence/GCF_002762545.2.faa	NA	1	0	100.00	800.00
GCF_029872025.1	/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/2-GToTree/example/2-目标HMM→命中序列/data/2-Sequence/GCF_029872025.1.faa	NA	1	0	100.00	800.00
GCF_028548955.1	/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/2-GToTree/example/2-目标HMM→命中序列/data/2-Sequence/GCF_028548955.1.faa	NA	1	0	100.00	600.00
GCF_034296705.1	/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/2-GToTree/example/2-目标HMM→命中序列/data/2-Sequence/GCF_034296705.1.faa	NA	1	0	100.00	600.00
GCF_002138065.1	/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/2-GToTree/example/2-目标HMM→命中序列/data/2-Sequence/GCF_002138065.1.faa	NA	1	0	100.00	600.00
GCF_023362115.1	/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/2-GToTree/example/2-目标HMM→命中序列/data/2-Sequence/GCF_023362115.1.faa	NA	1	0	100.00	800.00
GCF_030585305.1	/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/2-GToTree/example/2-目标HMM→命中序列/data/2-Sequence/GCF_030585305.1.faa	NA	1	0	100.00	800.00
GCF_048962925.1	/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/2-GToTree/example/2-目标HMM→命中序列/data/2-Sequence/GCF_048962925.1.faa	NA	1	0	100.00	700.00
